ID,PH
B10.10,NA
B10.11,101
B10.12,NA
B10.2,NA
B10.3,93
B10.5,69
B10.6,100
B10.8,NA
B10.9,105
B1.10,129
B11.10,NA
B11.11,117
B1.11,138
B11.1,NA
B1.12,105
B11.2,105
B11.3,NA
B11.4,NA
B11.6,NA
B11.7,NA
B11.9,115
B12.10,NA
B12.12,NA
B12.3,118
B12.6,NA
B12.7,108
B12.9,94
B13.11,111
B13.2,117
B13.3,138
B13.4,90
B13.5,130
B13.6,95
B13.7,108
B13.9,111
B1.3,124
B14.10,93
B14.11,89
B14.2,74
B14.3,NA
B14.4,112
B14.7,117
B15.10,112
B15.11,101
B15.3,100
B15.5,143
B15.6,95
B15.8,107
B15.9,110
B1.5,115
B16.2,141
B16.3,100
B16.4,118
B16.5,96
B16.6,80
B16.7,112
B16.8,108
B16.9,75
B17.10,140
B17.12,106
B17.2,121
B17.5,111
B17.6,145
B17.7,85
B1.7,114
B18.4,126
B18.5,109
B18.8,116
B18.9,110
B1.8,105
B19.10,128
B19.11,95
B19.7,95
B19.9,112
B20.2,118
B20.3,92
B20.4,124
B20.6,103
B20.7,133
B2.10,93
B21.2,85
B21.6,75
B21.7,110
B22.10,128
B22.12,129
B22.3,112
B22.8,105
B2.2,92
B23.1,125
B23.3,85
B23.4,120
B23.7,NA
B2.3,102
B24.10,130
B24.2,133
B24.6,114
B24.7,135
B24.8,105
B24.9,80
B2.5,115
B26.10,NA
B26.11,116
B26.12,128
B26.3,119
B26.9,134
B27.5,NA
B2.7,125
B28.2,127
B28.3,106
B28.4,120
B28.5,130
B28.7,132
B28.8,100
B28.9,107
B29.2,129
B29.5,139
B29.6,136
B30.11,147
B30.3,NA
B30.4,150
B30.5,143
B30.8,128
B3.2,130
B3.4,134
B3.5,129
B3.6,122
B3.7,113
B4.12,NA
B4.2,114
B4.3,113
B4.6,113
B4.8,101
B4.9,99
B5.10,120
B5.11,113
B5.3,115
B5.5,86
B5.6,122
B5.7,100
B5.8,94
B5.9,109
B6.10,119
B6.2,94
B6.3,106
B6.4,99
B6.5,114
B6.6,137
B6.7,70
B6.8,97
B7.2,106
B7.4,143
B7.5,120
B7.8,103
B8.10,101
B8.1,107
B8.4,NA
B8.5,113
B8.6,108
B8.8,89
B8.9,NA
B9.10,109
B9.12,NA
B9.3,NA
B9.5,NA
B9.6,123
B9.7,NA
B9.8,99
